Color,
------,------
Analogous-Colors,Analogous-Colors
Aqua,Aqua
Azure,Azure
Beige,Beige
Bichromatic,Bichromatic
Black and White,Black and White
Blush,Blush
Bright Colors,Bright Colors
Chartreuse,Chartreuse
Color / Colorized,Color / Colorized
Colorful,Colorful
Cool Color Palette,Cool Color Palette
Dark Colors,Dark Colors
Darkened,Darkened
Desaturated,Desaturated
Dingy Colors,Dingy Colors
Faded / Faded Colors,Faded / Faded Colors
Gradient,Gradient
Heptachromatic,Heptachromatic
Hexachromatic,Hexachromatic
Hue / Tones,Hue / Tones
Inverted Colors,Inverted Colors
Light Colors,Light Colors
Monochromatic,Monochromatic
Monochrome,Monochrome
Multicolored,Multicolored
Neutral,Neutral
Octachromatic,Octachromatic
Olive-Green,Olive-Green
Pentachromatic,Pentachromatic
Polychromatic,Polychromatic
Pure / Purity,Pure / Purity
Rainbow,Rainbow
Scarlet,Scarlet
Sepia,Sepia
Spectral Color,Spectral Color
Tan,Tan
Tetrachromatic,Tetrachromatic
Tetradic-Colors,Tetradic-Colors
Triadic-Colors,Triadic-Colors
Trichromatic,Trichromatic
Turquoise,Turquoise
Vibrance / Vivid,Vibrance / Vivid
Warm Color Palette,Warm Color Palette
